album,artist,country,label,year
Freak By Night,Cotumo,Germany,Zerinnerung,2006
Progress,Alexander Kowalski,Germany,Kanzleramt,2002
Cocoon Compilation I,Various,Germany,Cocoon Recordings,2009
Welcome To My Club - 1st Issue,Secret Cinema,Netherlands,Gem Records (6),2010
Time Axis Manipulation,Mokira,Sweden,Kontra-Musik,2011
Fabric 71,Cassy,UK,Fabric (2),2013
The Process,Oliver Koletzki,Germany,Resopal Schallware,2006
Dinamo,Nathan Fake,Germany,Traum Schallplatten,2005
Minimalism,Terrence Dixon,US,Utensil Records,1995
Elmenreich,Carsten Jost,Germany,Dial,2000
Missing,The Wee DJs,UK,This Machine Is Broken,2013
A Certain Kind EP,Carsten Jost,Germany,Klang Elektronik,2002
Berlin Booty,Hobo (3),Canada,M_nus,2010
Tracks On Delivery Part 4,Roman Flügel,Germany,Ongaku Musik,2002
Crisis In Techno,*,Germany,R.I.P. Records,2005
Knibbie Never Comes Alone / Loose Hooks,Loco Dice,Canada,M_nus,2011
Borderline EP,Giuseppe Cennamo,Germany,Kammer Musik,2009
Cap'N Can't Get Right,Friendly People,Spain,Cyclical Tracks,2007
"QuOtE, SamplE, StEal",From Karaoke To Stardom,Germany,Rrygular,2008
Circus / Repeat,Koen Lebens,Netherlands,Outland Records,2008
Reversal,Daff,UK,Tactical,2000
"<a href=""/master/255472-Agents-Of-Time/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Canada,Wagon Repair Ltd.,2010
Metropolis 2,Jeff Mills,Germany,Tresor,2000
Indy,Mihalis Safras,Greece,Material Series,2010
Bakfom,XDB,Netherlands,Harbour City Sorrow,2011
Corporation Triptech / Tell Nobody,Dan F,Hong Kong,Disuye,2007
Recycle EP,Sleeparchive,Germany,Sleeparchive,2004
Falling,A Guy Called Gerald,Germany,Highgrade Records,2011
Chaotic Kitchen,Johnny Aemkel,Italy,Divided Recordings,2010
Feuchtblatt Ist Trumpf,Rocco Branco,Germany,Platzhirsch Schallplatten,2005
Introducing Infiné,Various,France,Infiné,2010
Remixed,Ike Yard,France,Desire Records (4),2014
CyberStyle,Tech Star,Japan,Bump Foot,2009
Amoeba EP,Mhonocell,Sweden,Evil Deception,2001
"<a class=""needs_changes"" href=""/master/528354-Sons-Of-The-South/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",US,Teknotik Records,2000
Metalgroove,Meta.83,Germany,Festplatten,2001
Sunny Hills E.P.,Joel Mull,Germany,Audiomatique Recordings,2007
Skychef,John Spring,Germany,Sub Static,2008
Superhighway EP,Scanners,UK,Limbo Records,2001
2010 (A Live Documentary),Paul Kalkbrenner,Germany,Paul Kalkbrenner Musik,2010
Trusted EP,Peter Van Hoesen,Belgium,Time To Express,2008
Empire In Decline / Third Piece,Peter Van Hoesen,Belgium,Time To Express,2008
HGB EP,ROD (16),Germany,CLR (2),2012
La Limonada De Pepe Bombilla,Luciano,Switzerland,Mental Groove Records,2003
An Der Waterkant,Hanne & Lore,Germany,Monaberry,2009
Hydrothermal,*,UK,Idle Hands,2011
Ultimo Violetta / Mono Chroma,Davis & May,Germany,Maripoza,2007
The Glue V. 1,Guillaume La Tortue,France,Taka,2000
Positive Disorder,Marco Bailey,Belgium,MB Elektronics,2005
Roots,Alejandro Vivanco,Germany,Leena Music,2010
Scarp EP,Frankie (2),France,Faste Music,2008
S100 EP,S100,Sweden,Stockholm LTD,2011
All You Need,Miss Kittin,Germany,Mobilee,2011
Instant Message EP,USRNM,UK,Photogram Recordings,2012
SYM-002,Symptom (2),Finland,Symptom Records,2003
Hook Up,Paul Brtschitsch,Germany,Leena Music,2007
Limited #1,Graziano Avitabile,Germany,Platzhirsch Schallplatten,2004
Rerecall / Bombaz / Ginza Line,Various,Germany,Supdub,2007
Beatbox,Kane Roth,Switzerland,Numbolic Records,2012
Inner Ear,Dan Berkson,US,Intrinsic Design,2007
Unclassified Computer Funk,[a]pendics.shuffle,US,Orac Records,2005
Hi & Low (Remixes),WhoMadeWho,Germany,Get Physical Music,2016
Tearing Me Up,Bob Moses (5),UK,Domino,2016
SND004 EP,*,Germany,Sundance,2012
Elysians & Mille Filles,Ike Yard,US,EverythingIsChemical,2012
Raw Tracks For Smooth People,Various,Belgium,Doctor Vinyl Records,2010
Into Your Life,*,UK,The Republic Of Desire,2006
